Year,Month,Day,Tmax(¡C),Tmin(¡C),PrecTotal (mm),Tavg
1971,6,17,13.1796608,0.465762943,0.095647156,6.82271187
1971,6,18,16.07440567,5.64850235,0,10.86145401
1971,6,19,16.43143082,7.103855133,0,11.76764297
1971,6,20,16.36990738,10.39090347,2.230718136,13.38040543
1971,6,21,17.61691666,8.695835114,0,13.15637589
1971,6,22,16.53046036,7.856174469,0,12.19331741
1971,6,23,15.99661636,7.532077789,0,11.76434708
1971,6,24,16.3253212,5.93075943,0.033946767,11.12804031
1971,6,25,16.04822159,5.543552399,0,10.79588699
1971,6,26,14.19800186,0.320926517,0.193572998,7.259464189
1971,6,27,9.634159088,0.03644165,5.049613953,4.835300369
1971,6,28,11.15558243,-2.986355066,1.655004859,4.084613681
1971,6,29,10.83932877,0.726352513,0.045781866,5.782840639
1971,6,30,12.99853897,-2.808681726,0.03835937,5.094928622
1971,7,1,16.13306046,1.358646274,0.017160464,8.745853364
1971,7,2,15.59384537,9.067935944,6.284444332,12.33089066
1971,7,3,14.14941788,6.961093903,11.26314449,10.55525589
1971,7,4,13.57767105,6.963352203,21.83930588,10.27051163
1971,7,5,14.1480751,4.169132233,10.58073521,9.158603668
1971,7,6,15.82419205,1.3210181,0,8.572605073
1971,7,7,17.13565445,5.009067535,0,11.07236099
1971,7,8,17.47925186,9.446872711,0,13.46306229
1971,7,9,16.73883438,6.059574127,0,11.39920425
1971,7,10,18.14160538,5.93353653,0,12.03757095
1971,7,11,19.99927139,8.124362946,0.605462551,14.06181717
1971,7,12,18.41846085,9.369968414,0.364902139,13.89421463
1971,7,13,16.46191788,7.035800934,0,11.74885941
1971,7,14,14.50522232,3.781192541,0,9.143207431
1971,7,15,12.74057388,2.422672033,0,7.581622958
1971,7,16,17.99634171,-0.821987331,0,8.587177187
1971,7,17,18.82580948,10.20358658,1.189922333,14.51469803
1971,7,18,16.92563248,6.915531158,0.75703764,11.92058182
1971,7,19,16.57745743,7.37695694,7.186742783,11.97720718
1971,7,20,13.34820938,5.09003067,10.09598255,9.219120026
1971,7,21,13.31454849,4.709934235,0.720197678,9.012241364
1971,7,22,15.0341835,6.188114166,0.121087074,10.61114883
1971,7,23,13.98315811,2.434085608,6.681171417,8.20862186
1971,7,24,11.48724747,2.956210852,2.593627453,7.221729159
1971,7,25,16.60718155,4.113925934,0.012178288,10.36055374
1971,7,26,16.68185806,4.35968399,0,10.52077103
1971,7,27,17.72232437,4.702640533,0,11.21248245
1971,7,28,19.68414688,7.622257233,0.265507787,13.65320206
1971,7,29,22.95334244,9.679080963,0.038453437,16.3162117
1971,7,30,20.32211685,9.258914948,7.634626865,14.7905159
1971,7,31,15.19177628,10.11700821,5.194145679,12.65439224
1971,8,1,13.54559708,6.944339752,0.268178701,10.24496841
1971,8,2,14.00732803,6.480899811,0.580379426,10.24411392
1971,8,3,14.85617447,7.741947174,0.561780572,11.29906082
1971,8,4,15.42859268,8.048191071,0.363035291,11.73839188
1971,8,5,16.06949234,10.1241188,1.880737305,13.09680557
1971,8,6,14.96008682,8.042697906,6.650144577,11.50139236
1971,8,7,15.01312637,5.197483063,0,10.10530472
1971,8,8,14.29944229,3.516330481,0,8.907886386
1971,8,9,16.29687881,7.45508194,0.081330672,11.87598038
1971,8,10,19.07431412,7.212741852,0.052644692,13.14352798
1971,8,11,19.51977921,9.923221588,2.129193068,14.7215004
1971,8,12,17.80063248,2.620212317,15.2747097,10.2104224
1971,8,13,10.52777481,5.117435455,6.02902317,7.822605133
1971,8,14,9.010837555,4.543460846,4.878761292,6.7771492
1971,8,15,11.83969498,3.372348547,9.067087173,7.606021762
1971,8,16,8.909397125,4.856021881,1.748619676,6.882709503
1971,8,17,11.72208023,5.480808258,1.976254463,8.601444244
1971,8,18,10.63977432,2.192905188,0.358236313,6.416339755
1971,8,19,13.78476334,4.132846832,3.125047684,8.958805084
1971,8,20,13.08270645,5.986911774,13.6724205,9.534809113
1971,8,21,12.1859169,3.946750402,6.783755779,8.066333652
1971,8,22,8.821079254,4.043979645,0.194299355,6.432529449
1971,8,23,12.3744545,2.737674475,0.197663009,7.556064487
1971,8,24,10.90546036,4.19461441,3.301218987,7.550037384
1971,8,25,8.199344635,0.509311497,0.137011319,4.354328066
1971,8,26,9.651737213,3.466281652,11.15871716,6.559009433
1971,8,27,6.418186188,2.26608634,4.220888138,4.342136264
1971,8,28,9.390598297,3.039035559,9.113242149,6.214816928
1971,8,29,7.686313629,2.862033606,2.367061615,5.274173617
1971,8,30,9.664218903,2.647556067,3.810847759,6.155887485
1971,8,31,10.24939346,1.781589389,0,6.015491426
1971,9,1,7.886417389,2.118747473,2.365138292,5.002582431
1971,9,2,6.939121246,1.246219516,0.535217047,4.092670381
1971,9,3,12.23386002,2.916690588,0.271802038,7.575275302
1971,9,4,14.83877945,5.68555069,0.23881796,10.26216507
1971,9,5,11.5933876,1.590885043,0.334360808,6.592136323
1971,9,6,10.68716812,-0.662105739,0.314742148,5.012531191
1971,9,7,9.24414444,3.739261389,0.644217074,6.491702914
1971,9,8,14.1897316,4.09595108,9.950805664,9.142841339
1971,9,9,10.17282486,3.931064367,7.625681877,7.051944613
1971,9,10,11.46735001,3.374271154,0.342603177,7.42081058
1971,9,11,10.45679092,5.544986725,1.167650938,8.000888824
1971,9,12,9.084445953,3.468875647,5.610856533,6.2766608
1971,9,13,8.300876617,2.389804602,3.528666019,5.34534061
1971,9,14,9.127414703,3.516544104,19.69309998,6.321979403
1971,9,15,10.61563492,2.539310217,7.824669838,6.577472568
1971,9,16,16.36835098,4.74237442,9.532398224,10.5553627
1971,9,17,21.16693497,13.83017349,2.985864639,17.49855423
1971,9,18,17.67105484,2.241672277,1.818432331,9.956363559
1971,9,19,8.300785065,4.219455719,6.179472923,6.260120392
1971,9,20,7.744876862,0.845828831,12.0500927,4.295352846
1971,9,21,5.764499664,-0.351192623,0,2.70665352
1971,9,22,4.800174713,1.256809115,4.218931198,3.028491914
1971,9,23,4.656284332,-1.102047086,0.375027001,1.777118623
1971,9,24,3.867069006,0.079410404,4.852232933,1.973239705
1971,9,25,4.602848053,-0.697658718,0.064713642,1.952594668
1971,9,26,5.516605377,1.634921908,4.248283863,3.575763643
1971,9,27,7.119052887,-0.888057888,0.174733803,3.1154975
1971,9,28,5.26166153,-2.390560389,0,1.43555057
1971,9,29,5.311344147,1.216281772,2.357263565,3.263812959
1971,9,30,4.945529938,-2.195247889,0,1.375141025
1971,10,1,4.091342926,-0.794674098,0,1.648334414
1971,10,2,3.704746008,-0.281368405,2.393260002,1.711688802
1971,10,3,4.470584869,-0.618190944,0.15068759,1.926196963
1971,10,4,4.4492836,-2.140011072,0,1.154636264
1971,10,5,2.527408361,-1.934963346,1.566199422,0.296222508
1971,10,6,4.842533112,-0.442531735,1.730156183,2.200000688
1971,10,7,5.451358795,-1.783168912,0,1.834094942
1971,10,8,5.646518707,-1.985103726,0,1.83070749
1971,10,9,5.283176422,1.565982699,6.600409985,3.424579561
1971,10,10,4.609470367,-1.108760953,6.875983715,1.750354707
1971,10,11,0.7348364,-2.172878504,2.30407095,-0.719021052
1971,10,12,1.777866244,-1.595302701,3.891484022,0.091281772
1971,10,13,1.696964145,-1.195827603,3.80975461,0.250568271
1971,10,14,2.062381506,-1.74816525,2.049132347,0.157108128
1971,10,15,1.310703158,-2.898189783,0.608911991,-0.793743312
1971,10,16,2.18707633,-2.65691781,0.155261248,-0.23492074
1971,10,17,2.342258215,-2.87566781,0,-0.266704798
1971,10,18,2.010623693,-2.20467782,0.021929771,-0.097027063
1971,10,19,1.622714877,-1.528072476,0,0.0473212
1971,10,20,0.253665775,-2.604549646,0.037932858,-1.175441936
1971,10,21,0.489688724,-3.277736902,2.008810997,-1.394024089
1971,10,22,0.221073002,-5.206996918,0.793995857,-2.492961958
1971,10,23,0.353854984,-4.599086761,0.072991148,-2.122615889
1971,10,24,1.592410922,-3.462520838,0,-0.935054958
1971,10,25,-0.02819458,-3.552974939,0.843815923,-1.79058476
1971,10,26,2.613834143,-3.665554285,0.253336668,-0.525860071
1971,10,27,4.232303619,-0.843654811,6.720192432,1.694324404
1971,10,28,2.310367346,-0.305843502,3.780097246,1.002261922
1971,10,29,4.256137848,-1.031215787,7.634339333,1.61246103
1971,10,30,4.241550446,-4.023952484,9.510977745,0.108798981
1971,10,31,0.307315677,-3.360988855,0.399201572,-1.526836589
1971,11,1,0.279392093,-2.14406991,0,-0.932338908
1971,11,2,0.670596898,-3.865078211,18.18718529,-1.597240657
1971,11,3,0.712283909,-4.823299408,3.188355446,-2.055507749
1971,11,4,-2.128933191,-8.523097992,0,-5.326015592
1971,11,5,-5.06432724,-11.89849472,0,-8.48141098
1971,11,6,-7.28710556,-14.96145248,0,-11.12427902
1971,11,7,-6.511714935,-14.87285995,0.527782083,-10.69228745
1971,11,8,-6.20583725,-10.12252426,1.24390924,-8.164180756
1971,11,9,-7.014736176,-12.77404404,0,-9.894390106
1971,11,10,-5.393215179,-12.67669296,0,-9.034954071
1971,11,11,-3.064357996,-11.09734726,0.043003686,-7.080852628
1971,11,12,-2.515865564,-5.085475922,0.052625556,-3.800670743
1971,11,13,-3.574245691,-9.784725189,0.785344005,-6.67948544
1971,11,14,-6.446468353,-12.80443954,3.007707596,-9.625453949
1971,11,15,-5.390499115,-13.7533226,1.520359397,-9.571910858
1971,11,16,-7.425807953,-16.05520248,1.803931117,-11.74050522
1971,11,17,-10.48852158,-16.08611679,2.073023081,-13.28731918
1971,11,18,-10.3922081,-16.66360092,2.102816582,-13.52790451
1971,11,19,-10.26592636,-15.51748276,2.104135752,-12.89170456
1971,11,20,-10.82912827,-17.31063461,0.358016789,-14.06988144
1971,11,21,-7.201992035,-20.25797653,0.135332435,-13.72998428
1971,11,22,-6.385555267,-10.27999496,1.106515527,-8.332775116
1971,11,23,-5.392757416,-9.57717514,2.112208366,-7.484966278
1971,11,24,-6.997219086,-15.54384995,0,-11.27053452
1971,11,25,-2.52019906,-13.29092026,3.729396343,-7.905559659
1971,11,26,-4.214351654,-13.71990585,0.028887743,-8.967128754
1971,11,27,-8.114162445,-14.52434921,0,-11.31925583
1971,11,28,-7.132961273,-13.0053978,1.659506559,-10.06917953
1971,11,29,-9.047603607,-13.56197739,0.599290013,-11.3047905
1971,11,30,-11.36370468,-19.69347763,0.041908011,-15.52859116
1971,12,1,-12.31203842,-20.53527451,0,-16.42365646
1971,12,2,-8.559932709,-15.41851425,10.36480141,-11.98922348
1971,12,3,-11.06692123,-31.25423813,0.909325838,-21.16057968
1971,12,4,-17.27021408,-26.44614792,0,-21.858181
1971,12,5,-17.29053879,-23.81498337,0,-20.55276108
1971,12,6,-16.96233749,-24.03399277,0,-20.49816513
1971,12,7,-16.8224144,-24.30625534,0,-20.56433487
1971,12,8,-17.22674179,-26.50889206,0,-21.86781693
1971,12,9,-9.475673676,-25.95986557,0.360625565,-17.71776962
1971,12,10,-4.847957611,-11.13381577,0,-7.990886688
1971,12,11,-4.6941185,-7.480251312,0,-6.087184906
1971,12,12,-4.807430267,-15.77187729,0,-10.28965378
1971,12,13,-9.956752777,-19.32986069,0,-14.64330673
1971,12,14,-14.75207138,-22.17844772,0,-18.46525955
1971,12,15,-14.85598373,-23.50866318,0,-19.18232346
1971,12,16,-14.90136337,-23.22773361,0,-19.06454849
1971,12,17,-17.20363998,-25.09301376,0,-21.14832687
1971,12,18,-19.01119614,-25.49055099,0,-22.25087357
1971,12,19,-19.56635666,-25.21438217,0,-22.39036942
1971,12,20,-18.18549728,-28.09896469,0,-23.14223099
1971,12,21,-12.02267075,-26.96485519,0,-19.49376297
1971,12,22,-11.8566246,-19.50786972,0.324017793,-15.68224716
1971,12,23,-14.87237167,-27.30710983,0,-21.08974075
1971,12,24,-18.59995651,-25.31254196,0,-21.95624924
1971,12,25,-18.05533981,-21.68438339,0,-19.8698616
1971,12,26,-19.07284164,-29.35374069,0,-24.21329117
1971,12,27,-17.06087875,-26.88430405,0.040002685,-21.9725914
1971,12,28,-11.94488144,-24.09408188,9.885396957,-18.01948166
1971,12,29,-13.99853134,-26.80418015,0.296198368,-20.40135574
1971,12,30,-17.92496872,-22.82369614,0,-20.37433243
1971,12,31,-18.70304489,-31.89144516,0,-25.29724503
1972,1,1,-14.01784897,-25.6903801,3.786268711,-19.85411453
1972,1,2,-13.0066185,-21.49285507,0.528974891,-17.24973679
1972,1,3,-10.91482162,-20.62945175,1.667621255,-15.77213669
1972,1,4,-10.55196762,-20.39585495,3.561838627,-15.47391129
1972,1,5,-10.82433701,-20.09113693,3.899499893,-15.45773697
1972,1,6,-14.84103012,-22.31147385,1.116817713,-18.57625198
1972,1,7,-17.91028976,-30.09692001,0.976459146,-24.00360489
1972,1,8,-14.55907822,-27.31827927,6.792888641,-20.93867874
1972,1,9,-19.23548508,-36.43162155,0.471486479,-27.83355331
1972,1,10,-27.76446152,-32.03673935,0,-29.90060043
1972,1,11,-25.54711533,-30.75181198,0,-28.14946365
1972,1,12,-22.95093918,-30.11579514,0,-26.53336716
1972,1,13,-24.92295456,-32.6487236,0,-28.78583908
1972,1,14,-24.98434067,-31.37160873,0,-28.1779747
1972,1,15,-25.2876091,-30.7490654,0,-28.01833725
1972,1,16,-26.39985275,-30.64245224,0,-28.5211525
1972,1,17,-24.91596603,-28.69425583,0,-26.80511093
1972,1,18,-25.13843918,-28.72323227,0,-26.93083572
1972,1,19,-21.28478622,-32.56040573,0.025439607,-26.92259598
1972,1,20,-17.37018967,-26.27402878,0,-21.82210922
1972,1,21,-15.9217186,-25.31611252,0.304549217,-20.61891556
1972,1,22,-16.3531456,-27.75022507,1.526861429,-22.05168533
1972,1,23,-15.97372055,-29.20084763,1.149507046,-22.58728409
1972,1,24,-20.16227341,-29.7191124,0,-24.9406929
1972,1,25,-12.54262924,-28.94892502,0.680088282,-20.74577713
1972,1,26,-10.65490341,-14.74618149,3.820028543,-12.70054245
1972,1,27,-11.73989487,-21.61149216,0,-16.67569351
1972,1,28,-15.88405991,-24.2102623,0.364895463,-20.0471611
1972,1,29,-18.17847824,-24.50208664,0,-21.34028244
1972,1,30,-13.06429672,-26.96406174,0.522386849,-20.01417923
1972,1,31,-12.01025009,-19.95104599,1.173517466,-15.98064804
1972,2,1,-9.386623383,-22.67252731,5.970899582,-16.02957535
1972,2,2,-9.083400726,-30.83834457,1.324198008,-19.96087265
1972,2,3,-20.61770248,-32.81502914,0,-26.71636581
1972,2,4,-23.7319603,-32.78718185,0,-28.25957108
1972,2,5,-21.21412277,-27.79114914,0,-24.50263596
1972,2,6,-12.25295639,-34.27322006,5.794544697,-23.26308823
1972,2,7,-12.80736923,-42.91300583,1.128513098,-27.86018753
1972,2,8,-30.4470787,-38.00114059,0,-34.22410965
1972,2,9,-32.01115036,-41.45692062,0,-36.73403549
1972,2,10,-23.66656113,-37.30611801,1.381437302,-30.48633957
1972,2,11,-22.73861313,-28.62444687,1.945269346,-25.68153
1972,2,12,-25.48192978,-35.18027878,0,-30.33110428
1972,2,13,-23.66514206,-32.86935043,0,-28.26724625
1972,2,14,-21.4839592,-29.12148666,0,-25.30272293
1972,2,15,-22.20756149,-34.99210739,0.013734316,-28.59983444
1972,2,16,-27.16527939,-34.07011032,0,-30.61769485
1972,2,17,-18.53574753,-36.32554245,1.970656633,-27.43064499
1972,2,18,-17.57265854,-29.74213791,0.020702794,-23.65739822
1972,2,19,-13.50573349,-29.6493187,6.51803112,-21.57752609
1972,2,20,-18.83225632,-30.97629929,0,-24.9042778
1972,2,21,-18.28506088,-28.43563461,1.039475322,-23.36034775
1972,2,22,-21.69335556,-30.81794357,0,-26.25564957
1972,2,23,-21.9401207,-29.9904747,0.034446206,-25.9652977
1972,2,24,-24.57574081,-37.22237778,0,-30.8990593
1972,2,25,-32.2041893,-40.87598801,0,-36.54008865
1972,2,26,-32.43102646,-43.23791122,0,-37.83446884
1972,2,27,-19.51559067,-41.75020981,2.478992462,-30.63290024
1972,2,28,-12.92052841,-26.96015549,2.870353699,-19.94034195
1972,3,1,-11.95663071,-31.88949203,1.076007962,-21.92306137
1972,3,2,-22.73054123,-31.79122543,0,-27.26088333
1972,3,3,-21.2714653,-31.56892014,0,-26.42019272
1972,3,4,-22.80881882,-30.43593979,0,-26.6223793
1972,3,5,-24.25031662,-29.87037277,0.029592315,-27.0603447
1972,3,6,-24.03593063,-34.91245651,0,-29.47419357
1972,3,7,-22.06983566,-32.88560104,0,-27.47771835
1972,3,8,-19.36640549,-36.18331528,0,-27.77486038
1972,3,9,-11.4536705,-27.63216782,0.651970923,-19.54291916
1972,3,10,-5.219326019,-20.8679924,3.747772694,-13.04365921
1972,3,11,-5.098934174,-28.5532341,3.574420452,-16.82608414
1972,3,12,-9.408626556,-27.69279099,0.576138616,-18.55070877
1972,3,13,-10.05233383,-27.48832321,0.164293557,-18.77032852
1972,3,14,-5.910732269,-21.33163071,6.168442726,-13.62118149
1972,3,15,-12.53866196,-20.52619553,0,-16.53242874
1972,3,16,-3.804592371,-21.99277878,3.342583179,-12.89868557
1972,3,17,-2.766872644,-29.30907822,4.412379742,-16.03797543
1972,3,18,-12.44396591,-25.0046196,0.113202706,-18.72429276
1972,3,19,-14.38036728,-29.21508408,0,-21.79772568
1972,3,20,-15.37475204,-31.94768906,0,-23.66122055
1972,3,21,-6.057949066,-24.66968918,0.01793509,-15.36381912
1972,3,22,-2.867763758,-11.70376205,0.02656164,-7.285762906
1972,3,23,-2.34795785,-10.12453842,0.089864157,-6.236248136
